date_IST,time_IST,event_tag,place,state_district,latitude,longitude,coord_tag,source,geocode_status
2010-08-18,08:00,Heavy rain / cloudburst (reported in SITREP),"Kapkot, Bageshwar district, Uttarakhand, India",Uttarakhand (Bageshwar/Kapkot),29.9478464,79.9013865,To geocode (place-level) | OK,NDM India SITREP (uid=NEW1305): Kapkot school roof collapse due to heavy rain/cloud burst (18 Aug 2010),OK
2012-09-14,~01:00,Cloudburst,"Rudraprayag district (affected villages), Uttarakhand, India",Uttarakhand (Rudraprayag),,,To geocode (district/village-level) | Not found,"Sphere India / ReliefWeb: 'Situation Report - Rudraprayag Cloud Burst' (13-14 Sep 2012, around 01:00 AM)",Not found
2013-06-16,,Extreme rainfall / cloudburst-like triggering flash floods (reported in sitreps),Uttarakhand (multi-district flood/flash flood event affecting Char Dham region and others),Uttarakhand (multi-district),,,To geocode (multi-location; use key affected towns if needed) | Not found,Sphere India IAC Report / Sitrep (June 2013): heavy rains and flood situation in Uttarakhand (mid-June 2013),Not found
2014-07-24,03:00-04:00,Cloudburst,"Akhnoor, Jammu, Jammu & Kashmir, India",Jammu & Kashmir (Jammu/Akhnoor),32.8978119,74.7382944,To geocode (place-level) | OK,NDM India Sitrep NEW913 (24/07/2014),OK
2016-05-28,NA,Cloudburst,"Ghansali, Tehri Garhwal, Uttarakhand, India",Uttarakhand (Tehri Garhwal/Ghansali),30.603913,78.7305223,To geocode (tehsil proxy) | OK,NDM India Sitrep NEW821 (04/06/2016; incident 28/05/2016),OK
2016-07-01,early morning,Cloudburst,"Singhali, Pithoragarh, Uttarakhand, India",Uttarakhand (Pithoragarh/Singhali area),,,To geocode (area) | Not found,Sphere India Sitrep (Uttarakhand Cloud Burst 2 July 2016; incident 1 July 2016),Not found
2017-08-13,NA,Cloudburst-triggered landslide,"Padhar, Mandi, Himachal Pradesh, India (Urla area)",Himachal Pradesh (Mandi/Padhar),,,To geocode (nearest town/tehsil) | Not found,NDM India Sitrep NEW758 (15/08/2017; incident 13/08/2017),Not found
2017-08-14,NA,Cloudburst/Landslide,"Dharchula, Pithoragarh, Uttarakhand, India (Manti Nara & Malata area)",Uttarakhand (Pithoragarh/Dharchula),,,To geocode (town proxy) | Not found,NDM India Sitrep NEW758 (15/08/2017; incident 14/08/2017),Not found
2021-07-27,20:00,Cloudburst/Flash flood,"Tozing Nallah, Lahaul & Spiti, Himachal Pradesh, India",Himachal Pradesh (Lahaul & Spiti),,,To geocode (feature/area; may be approximate) | Not found,NDM India Sitrep D323 (29/07/2021; incident 27/07/2021 2000 hrs),Not found
2021-07-28,03:30,Cloudburst,"Honzar, Dachhan, Kishtwar, Jammu & Kashmir, India",Jammu & Kashmir (Kishtwar/Dachhan),,,To geocode (village) | Not found,NDM India Sitrep D323 (29/07/2021; incident 28/07/2021 0330 hrs),Not found
2021-07-28,13:00,Cloudburst,"Aloosa, Bandipora, Jammu & Kashmir, India",Jammu & Kashmir (Bandipora/Aloosa),,,To geocode (village) | Not found,NDM India Sitrep D323 (29/07/2021; incident 28/07/2021 1300 hrs),Not found
2021-07-28,17:30,Cloudburst,"Amarnath Cave, Jammu & Kashmir, India",Jammu & Kashmir (Amarnath holy cave),34.215635,75.5038297,To geocode (site) | OK,NDM India Sitrep D323 (29/07/2021; incident 28/07/2021 1730 hrs),OK
2022-07-08,17:30,Cloudburst / flash flood,"Amarnath Cave, Jammu & Kashmir, India",Jammu & Kashmir (Amarnath holy cave),34.215635,75.5038297,To geocode (site) | OK,NDM India Brief D856 (09/07/2022; incident 08/07/2022 1730 hrs),OK
2024-07-25,01:00,Cloudburst,"Palchan, Manali, Kullu, Himachal Pradesh, India",Himachal Pradesh (Kullu/Manali/Palchan),32.3095152,77.1758334,To geocode (village) | OK,Sphere India Sitrep (Cloudburst in Himachal Pradesh; 26/07/2024; around 1 am on 25/07/2024),OK
2024-08-01,01:38,Cloudburst,"Jaon, Nirmand, Kullu, Himachal Pradesh, India",Himachal Pradesh (Kullu/Nirmand/Jaon),,,To geocode (village) | Not found,NDM India DSR NEW2155 (Annexure-II; incident 01/08/2024 0138 hrs),Not found
2024-08-01,02:28,Cloudburst,"Tikkan Thalukot, Padhar, Mandi, Himachal Pradesh, India",Himachal Pradesh (Mandi/Padhar/Tikkan Thalukot),,,To geocode (village) | Not found,NDM India DSR NEW2155 (Annexure-II; incident 01/08/2024 0228 hrs),Not found
2024-08-01,04:47,Cloudburst,"Jhakri, Rampur, Shimla, Himachal Pradesh, India",Himachal Pradesh (Shimla/Rampur/Jhakri),31.4872771,77.6957554,To geocode (village/town) | OK,NDM India DSR NEW2155 (Annexure-II; incident 01/08/2024 0447 hrs),OK
2024-08-01,05:42,Flash flood (reported alongside cloudbursts),"Malana, Jari, Kullu, Himachal Pradesh, India",Himachal Pradesh (Kullu/Jari/Malana),32.1001904,77.2970493,To geocode (village) | OK,NDM India DSR NEW2155 (Annexure-II; incident 01/08/2024 0542 hrs),OK
2000-07-31,Night,Flash floods (Satluj valley),"Satluj valley, Himachal Pradesh, India",Himachal Pradesh (Satluj valley),,,To geocode (valley-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 31 Jul & 1 Aug 2000 in Satluj valley,Not found
2000-08-01,Night,Flash floods (Satluj valley),"Satluj valley, Himachal Pradesh, India",Himachal Pradesh (Satluj valley),,,To geocode (valley-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 31 Jul & 1 Aug 2000 in Satluj valley,Not found
2001-07-23,Night,Cloudbursts / Flash floods,"Sainj valley (Sainj & Jeeba nallahs), Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Sainj),,,To geocode (valley/nallah-level) | Not found,HP SDMA Flood Hazards: flash floods night of 23 Jul 2001 in Sainj valley; cloudbursts in upper reaches,Not found
2001-07-29,Night,Flash floods,"Chhota Bhangal & Baijnath Sub Division, Kangra district, Himachal Pradesh, India","Himachal Pradesh (Kangra/Chhota Bhangal, Baijnath)",,,To geocode (subdivision-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 29–30 Jul 2001 in Chhota Bhangal & Baijnath (Kangra),Not found
2001-07-30,Night,Flash floods,"Chhota Bhangal & Baijnath Sub Division, Kangra district, Himachal Pradesh, India","Himachal Pradesh (Kangra/Chhota Bhangal, Baijnath)",,,To geocode (subdivision-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 29–30 Jul 2001 in Chhota Bhangal & Baijnath (Kangra),Not found
2001-08-09,Night,Flash floods,"Moral-Danda peak / Rohru area; also Devidhar (Rampur Sub Division), Shimla district, Himachal Pradesh, India","Himachal Pradesh (Shimla/Rohru, Rampur)",,,To geocode (area/stream-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 9–10 Aug 2001 (Rohru & Rampur sub divisions),Not found
2001-08-10,Night,Flash floods,"Moral-Danda peak / Rohru area; also Devidhar (Rampur Sub Division), Shimla district, Himachal Pradesh, India","Himachal Pradesh (Shimla/Rohru, Rampur)",,,To geocode (area/stream-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 9–10 Aug 2001 (Rohru & Rampur sub divisions),Not found
2001-08-12,Night,Flash floods,"Sihunta & Tissa areas, Chamba district, Himachal Pradesh, India","Himachal Pradesh (Chamba/Sihunta, Tissa)",,,To geocode (area-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 12–13 Aug 2001 in Sihunta & Tissa (Chamba),Not found
2001-08-13,Night,Flash floods,"Sihunta & Tissa areas, Chamba district, Himachal Pradesh, India","Himachal Pradesh (Chamba/Sihunta, Tissa)",,,To geocode (area-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 12–13 Aug 2001 in Sihunta & Tissa (Chamba),Not found
2001-08-21,Night,Cloudburst / Flash floods,"Ani Sub Division (villages Badhali, Sarli referenced), Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Ani),,,To geocode (village-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 21–22 Aug 2001; cloudburst in Ani Sub Division (Kullu),Not found
2001-08-22,Night,Cloudburst / Flash floods,"Ani Sub Division (villages Badhali, Sarli referenced), Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Ani),,,To geocode (village-level) | Not found,HP SDMA Flood Hazards: flash floods in the night of 21–22 Aug 2001; cloudburst in Ani Sub Division (Kullu),Not found
2003-07-16,,Cloudbursts / Flash floods,"Gharsa valley, Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Gharsa),,,To geocode (valley-level) | Not found,HP SDMA Flood Hazards: flash floods due to cloudbursts in Gharsa valley on 16 Jul 2003 (Kullu),Not found
2003-08-07,,Flash floods,"Kangni nalla near Solang (and Bhang nalla landslide mentioned), Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Solang),,,To geocode (nallah/place-level) | Not found,HP SDMA Flood Hazards: flash floods in Kangni nalla near Solang on 7 Aug 2003 (Kullu),Not found
2005-06-26,,Flash flood (Parechu lake breach; Satluj river),"Satluj river corridor (Sumdo–Khab–Wangtoo stretch impacted), Himachal Pradesh, India",Himachal Pradesh (Satluj corridor / Kinnaur region referenced),,,To geocode (corridor-level) | Not found,HP SDMA Flood Hazards: flash flood in Satluj due to breach in Parachoo (Parechu) lake on 26 Jun 2005,Not found
2005-07-07,,Flash flood (Baspa river),"Baspa river (link road to Sangla referenced), Kinnaur district, Himachal Pradesh, India",Himachal Pradesh (Kinnaur/Sangla),,,To geocode (river/area-level) | Not found,HP SDMA Flood Hazards: on 7 Jul 2005 flash flood in Baspa river causing bridge/road losses,Not found
2007-08-15,,Cloudburst / Flash floods,"Bhavi Village, Ghanvi area, Shimla district, Himachal Pradesh, India",Himachal Pradesh (Shimla/Ghanvi),,,To geocode (village-level) | Not found,"HP SDMA Flood Hazards: 15 Aug 2007 cloudburst/flash-flood disaster at Bhavi village (Ghanvi, Shimla)",Not found
2009-08-07,,Cloudburst / Flash floods (reported event point),"Dharampur, Mandi district, Himachal Pradesh, India",Himachal Pradesh (Mandi/Dharampur),31.8029118,76.7584459,To geocode (town-level) | OK,HP SDMA Flood Hazards: 7 Aug 2009 Dharampur (Mandi) event point,OK
2010-09-12,,Cloudburst / Flash floods (reported event point),"Kharahal Valley, Kullu district, Himachal Pradesh, India",Himachal Pradesh (Kullu/Kharahal Valley),,,To geocode (valley-level) | Not found,HP SDMA Flood Hazards: 12 Sep 2010 Kharahal Valley event point,Not found
1968-10-02,,Extreme rainfall / flood-disaster (cloudburst-like multi-day event),"Sikkim and Darjeeling (Teesta basin corridor), India",Sikkim + West Bengal (Darjeeling),,,To geocode (basin/corridor-level) | Not found,1968 Sikkim floods (2–5 Oct 1968) after continuous heavy rainfall; Teesta basin impacts,Not found
1975-03-01,,Flash flood (lake burst) in Spiti/Satluj basin,"Spiti valley / Satluj basin (Parechu river lake-burst sequence described), Himachal Pradesh, India",Himachal Pradesh (Spiti/Kinnaur corridor),,,To geocode (basin-level; month-level date placeholder) | Not found,Satluj basin blockage created by 19 Jan 1975 earthquake; lake burst in March causing flash floods (Spiti valley),Not found
1988-09-29,02:30,Cloudburst / flash flood,"Soldang Khad / Soldang village area, Kinnaur, Himachal Pradesh, India",Himachal Pradesh (Kinnaur),,,To geocode (village-level) | Not found,"DDMA Kinnaur / HP SDMA timeline: cloudburst flash flood in Soldang Khad (29 Sep 1988, 2:30 AM)",Not found
1998-08-18,~03:00,Cloudburst-linked landslide / disaster,"Malpa village (Kali valley), Pithoragarh, Uttarakhand, India",Uttarakhand (Pithoragarh),,,To geocode (village-level) | Not found,Malpa disaster: dated 18 Aug 1998 (~3 AM) in case histories; cloudburst/landslide referenced in Uttarakhand cloudburst literature,Not found
2001-07-16,,Cloudburst,"Phata–Byung / Mandakini valley (Byung & Gabni sub-watersheds), Rudraprayag, Uttarakhand, India",Uttarakhand (Rudraprayag/Phata-Byung),,,To geocode (area-level) | Not found,Naithani et al. case history: cloudburst event dated 16 Jul 2001 in Phata–Byung area,Not found
2001-08-31,00:15-01:30,Cloudburst-triggered catastrophic landslide,"Gona village, Tehri Garhwal, Uttarakhand, India",Uttarakhand (Tehri Garhwal),30.52964,78.6025561,To geocode (village-level) | OK,Gona event investigation: cloudburst around 00:15–01:30 on 31 Aug 2001,OK
2012-09-14,~01:00,Cloudburst,"Rudraprayag district (affected villages), Uttarakhand, India",Uttarakhand (Rudraprayag),,,To geocode (district/village-level) | Not found,ReliefWeb/Sphere India sitrep: Rudraprayag cloudburst night 13–14 Sep 2012 around 01:00 AM,Not found
2010-08-06,01:00-02:00,Cloudburst / flash floods,"Leh town & surrounding areas (e.g., Choglamsar), Ladakh, India",Jammu & Kashmir (Leh/Ladakh) [historical admin],,,To geocode (town/area-level) | Not found,NIDM newsletter: Leh cloudburst on 6 Aug 2010 between 1–2 AM,Not found
2004-07-05,,Flash flood (reported in sitrep; cloudburst-like intense rain),"Seijosa circle / East Kameng district, Arunachal Pradesh, India",Arunachal Pradesh (East Kameng/Seijosa),,,To geocode (circle-level) | Not found,ReliefWeb situation report: East Kameng experienced flash flood on 5 July 2004,Not found
